Date,temp_max,temp_min,temp_mean,precip,pressure,sunshine,wind
2005-06-13,28.142172,13.559906,21.153828,2.2570438,1000.6851,10.631707,1.9461699
2005-06-14,28.595556,14.459254,21.73783,2.5123882,1001.68964,10.260066,1.8987658
2005-06-15,27.54681,15.24459,21.314627,3.851608,1002.9246,8.237672,1.9268843
2005-06-16,25.978386,14.281293,20.19485,2.408199,1005.20654,9.225582,1.8350126
2005-06-17,29.747467,15.14775,22.79625,0.66402113,1006.2672,11.952981,1.701843
2005-06-18,28.525953,15.284902,21.937904,2.6353571,1005.7108,10.254246,1.8293803
2005-06-19,25.274977,13.639684,19.39361,2.4436388,1007.1338,9.660528,1.8361664
2005-06-20,27.893513,14.059225,21.263348,1.6539582,1004.33344,11.423369,1.7567722
2005-06-21,27.835863,13.854104,21.16175,1.8447093,1004.1432,11.527145,1.7894926
2005-06-22,29.685785,15.129176,22.709019,2.2128575,1003.6383,11.531548,1.7795002
2005-06-23,27.527739,14.688273,21.307976,2.719924,1004.84314,10.498292,1.8106258
2005-06-24,28.088926,14.360167,21.654114,1.2523617,1005.95996,12.144858,1.7213255
2005-06-25,32.149815,16.472965,24.62918,1.5271014,1004.2552,12.459885,1.6959132
2005-06-26,30.766523,16.704512,23.922958,2.8285882,1004.4528,10.818743,1.7388732
2005-06-27,29.619356,16.23007,23.207407,2.1806145,1005.07477,11.088268,1.6898868
2005-06-28,30.840336,17.407267,24.233446,3.400747,1003.2181,9.851351,1.7297963
2005-06-29,30.90005,17.055973,24.269272,2.5828347,1000.92053,10.985631,1.7091726
2005-06-30,28.279657,15.445957,22.230804,2.6458151,1001.1785,10.926474,1.7806027
2005-07-01,27.582668,15.93173,21.805468,4.5242653,999.2049,8.883342,1.9119446
2005-07-02,21.13829,13.688941,16.982897,5.4000487,1003.2171,5.8722587,2.0686135
2005-07-03,25.645964,15.325879,20.481525,2.9318426,1003.62164,8.927541,1.9301558
2005-07-04,29.241926,15.425981,22.711481,0.6096436,1004.5909,12.091882,1.8300378
2005-07-05,28.38027,15.890793,22.14306,4.126139,1001.048,9.300248,2.0263515
2005-07-06,23.836775,12.819499,18.511492,2.2715816,1003.2826,10.354197,1.9748287
2005-07-07,27.348232,13.884109,20.950947,2.210677,1001.8638,11.285744,1.8836256
2005-07-08,25.825089,14.634046,20.061026,5.345543,999.2465,7.7893696,2.1355052
2005-07-09,23.622286,13.986371,18.544395,4.4930024,1001.9035,7.393931,2.1066613
2005-07-10,26.36463,14.468906,20.42521,2.5351608,1003.2396,9.587807,1.9599013
2005-07-11,25.269192,14.431451,19.51009,3.985477,1004.02014,7.5838246,2.047894
2005-07-12,22.261824,13.960439,17.463285,4.95989,1005.03394,5.536032,2.1025777
2005-07-13,24.900942,15.040731,19.515898,3.7783797,1004.7879,6.520854,1.9804969
2005-07-14,27.591335,14.664485,21.195927,1.0513105,1005.75354,9.970522,1.8166211
2005-07-15,29.361818,14.948863,22.322407,1.2325954,1005.4699,11.067471,1.8085853
2005-07-16,30.579954,16.093336,23.385098,2.7204294,1002.76117,10.359426,1.8485188
2005-07-17,30.388447,16.194086,23.448204,2.4606981,1001.88416,10.866648,1.8157296
2005-07-18,32.72177,17.509802,25.473127,3.2213745,1001.55115,11.330394,1.7992723
2005-07-19,26.148422,15.741887,20.677155,4.516501,1003.705,7.8676715,1.9305507
2005-07-20,28.81031,15.706662,22.604515,1.0788021,1004.77246,12.142398,1.7073494
2005-07-21,28.510824,15.230286,22.107912,2.0884676,1004.70215,11.560396,1.7844812
